O Menu,2022,7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
Certas Pessoas,2023,5.5,"Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences."
Babilônia,2022,7.4,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
Pantera Negra: Wakanda para Sempre,2022,6.9,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.
Casamento Armado,2022,5.5,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.
M3gan,2022,6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.
Batem à Porta,2023,6.4,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse."
Avatar: O Caminho da Água,2022,7.8,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
Tudo em Todo Lugar ao Mesmo Tempo,2022,8.0,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
Os Banshees de Inisherin,2022,7.8,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
Infinity Pool,2023,6.8,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors."
Tár,2022,7.6,"Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra."
Pathaan,2023,6.6,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.
Gato de Botas 2: O Último Pedido,2022,7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish."
Teen Wolf: O Filme,2023,5.7,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy."
Alerta Máximo,2023,6.6,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.
Glass Onion: Um Mistério Knives Out,2022,7.2,Famed Southern detective Benoit Blanc travels to Greece for his latest case.
Os Fabelmans,2022,7.7,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth."
Elvis,2022,7.4,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker."
The Whale,2022,8.0,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
Nada de Novo no Front,2022,7.8,A young German soldier's terrifying experiences and distress on the western front during World War I.
Triângulo da Tristeza,2022,7.5,A fashion model celebrity couple join an eventful cruise for the super-rich.
O Pálido Olho Azul,2022,6.6,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe."
X - A Marca da Morte,2022,6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
80 for Brady,2023,6.0,A group of friends made it their life-long mission to go to the Super Bowl and meet NFL superstar Tom Brady.
O Pior Vizinho do Mundo,2022,7.6,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around."
Aftersun,2022,7.7,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...
Top Gun: Maverick,2022,8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
Trem-Bala,2022,7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
Feitiço do Tempo,1993,8.1,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
Narvik - Hitlers First Defeat,2022,6.6,"April 1940. The eyes of the world are on Narvik, a small town in northern Norway, source of the iron ore needed for Hitler's war machinery. Through two months of fierce winter warfare, Hitler is dealt his first defeat."
The Wandering Earth II,2023,8.0,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death."
To Leslie,2022,7.1,"Inspired by true events. A West Texas single mother wins the lottery and squanders it just as fast, leaving behind a world of heartbreak. Years later, with her charm running out and nowhere to go, she fights to rebuild her life and find redemption."
Entre Facas e Segredos,2019,7.9,"A detective investigates the death of the patriarch of an eccentric, combative family."
Entre Mulheres,2022,7.5,"Do nothing. Stay and fight. Or leave. In 2010, the women of an isolated religious community grapple with reconciling a brutal reality with their faith."
Avatar,2009,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Jurassic World Domínio,2022,5.6,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects."
Batman,2022,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Amsterdam,2022,6.1,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history."
An Action Hero,2022,7.3,"Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding."
Um Lugar Bem Longe Daqui,2022,7.2,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.
Winnie the Pooh: Blood and Honey,2023,4.7,It follows Pooh and Piglet as they go on a rampage after Christopher Robin abandons them for college.
Desaparecida,2023,7.4,"After her mother goes missing, a young woman tries to find her from home, using tools available to her online."
Vengeance,2022,6.8,A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.
Blonde,2022,5.5,"The story of American actress Marilyn Monroe, covering her love and professional lives."
Esquema de Risco - Operação Fortune,2023,6.7,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.
Pinóquio por Guillermo del Toro,2022,7.6,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child."
"Alice, Darling",2022,5.5,A young woman trapped in an abusive relationship becomes the unwitting participant in an intervention staged by her two closest friends.
Skinamarink,2022,5.1,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished."
O Poderoso Chefão,1972,9.2,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
